asset,file_path,purpose,official_source_if_any,used_at_runtime,used_by_core,used_by_route_only,used_by_tests_only,used_by_product,import_chain,status
"KMU-55 transliteration","packages/knowledge/src/transliterate.ts","deterministic Cyrillic to Latin","file comments","yes","yes","yes","yes","TPS|Translation|Re-Parole|EAD","documentFieldReader -> transliterationPolicy -> transliterateKMU55","RUNTIME_USED"
"MRZ parser","packages/knowledge/src/mrz.ts","parse authoritative passport MRZ","ICAO/MRZ in comments","yes","yes","yes","yes","TPS|Re-Parole|central-brain","canonical/core/mrzAuthority -> parseMrz","RUNTIME_USED"
"agency registry","packages/knowledge/src/registry/registryLookup.ts","authority and civil registry lookup","generated source urls","yes","indirect","yes","yes","TPS|Translation|central-brain","engine/orchestrator and TPS modules and translation glossary","RUNTIME_USED"
"D-GLOSSARY generated rows","packages/knowledge/src/registry/registry.generated.ts","generated glossary data","embedded source urls","yes","indirect","no proof","yes","Translation|central-brain","registryLookup -> registry.generated","RUNTIME_USED"
"gazetteer","packages/knowledge/src/gazetteer.ts","settlement normalization","KOATUU/KATOTTG mentioned in comments","yes","yes","yes","yes","TPS|central-brain","engine/orchestrator -> snapCity","RUNTIME_USED"
"documentClassPolicy","apps/web/src/lib/canonical/core/documentClassPolicy.ts","doc-class quality and hard-case policy","benchmark report refs","yes","no","yes","yes","TPS|Translation","tps/ocr/extract and translation/vision-extract","ROUTE_ONLY"
"hard-case policy override","apps/web/src/lib/canonical/core/documentClassPolicy.ts","force review on dangerous classes","benchmark report refs","yes","no","yes","yes","TPS|Translation","applyHardCaseReviewOverride from routes","ROUTE_ONLY"
"label/value guard","apps/web/src/lib/tps/modules/labelValueExtractor.ts","reject label text as values","none","yes","no","yes","yes","TPS","tps/modules/birthCertificate -> labelValueExtractor","ROUTE_ONLY"
"garbage guard","packages/knowledge/src/garbageGuard.ts","reject garbage OCR values","none","yes","no","yes","yes","TPS|Translation UI","TranslateWizard and TPSWizardV2 import isGarbageValue","RUNTIME_USED"
"military_id schema","UNKNOWN","requested schema not proven","UNKNOWN","no proof","no","legacy module only","tests exist","TPS","tps/modules/militaryId only","UNKNOWN"
"birth_certificate schema","apps/web/src/lib/translation/forms/ukraine/schemas/birth-certificate.schema.ts","translation form/PDF schema","internal schema","partial","no","no","yes","Translation","translation forms/templates/tests","PARTIAL"
"passport DocTypeSpec","apps/web/src/lib/docintel/documentRegistry.ts","passport booklet and international passport specs","internal registry","yes","yes","yes","yes","TPS|Translation|Re-Parole|EAD","readDocument -> getDocTypeSpec","RUNTIME_USED"
"I-94 profile/schema","UNKNOWN","route mapping exists but registry proof missing","UNKNOWN","UNKNOWN","UNKNOWN","route mapping exists","tests mention it","EAD","ead/ocr/extract map only","UNKNOWN"
"EAD/I-766/I-797 profile/schema","UNKNOWN","route mapping exists but registry proof missing","UNKNOWN","UNKNOWN","UNKNOWN","route mapping exists","tests mention it","EAD","ead/ocr/extract map only","UNKNOWN"
"route-only contracts","apps/web/src/lib/tps/ocr/documentContracts.ts","slot-level allowed and forbidden fields","internal","yes","no","yes","yes","TPS","TPS route imports documentContracts","ROUTE_ONLY"
"duplicate document catalogs","apps/web/src/lib/translation/docDefinitions.ts | apps/web/src/lib/docintel/documentRegistry.ts","UI catalog vs OCR registry","internal","yes","partial","UI only for one side","yes","Translation","separate import chains","DUPLICATE"
"readDocumentCore","apps/web/src/lib/canonical/core/readDocumentCore.ts","intended single runtime reader","internal note says not wired","no","would be yes if wired","no","yes","none","no product route import proved","ORPHAN"
