category,key_uk,key_ru,official_en,aliases,valid_from,valid_until,source_url,source_authority,source_act,confidence_rule,review_rule,warning,notes
settlement_type,смт,посёлок городского типа,urban-type settlement,смт.|с-ще міського типу,,2024-01-01,https://zakon.rada.gov.ua/laws/show/z1456-20,Мінрегіон,Наказ №290 від 26.11.2020 (КАТОТТГ),high,keep_type,"NEVER translate as city or town; category abolished Jan 2024 but appears on pre-2024 documents",
settlement_type,пгт,посёлок городского типа,urban-type settlement,п.г.т.|пгт.,,,https://zakon.rada.gov.ua/laws/show/z1456-20,Мінрегіон,Наказ №290 (КАТОТТГ),high,keep_type,"Russian abbreviation; NEVER city or town",
settlement_type,село,село,village,с.|c-ще,,,https://zakon.rada.gov.ua/laws/show/z1456-20,Мінрегіон,Наказ №290 (КАТОТТГ),high,keep_type,NEVER town,
settlement_type,місто,город,city,м.,,,https://zakon.rada.gov.ua/laws/show/z1456-20,Мінрегіон,Наказ №290 (КАТОТТГ),high,auto,,
authority,міліція,милиция,Militsiya,міліції|міліцією,,2015-11-07,https://zakon.rada.gov.ua/laws/show/565-2015-п,МВС,Постанова про ліквідацію міліції,high,historical_lock,"Historical Soviet/early-UA police; NEVER Police, Militia, or National Police",
authority,національна поліція,национальная полиция,National Police of Ukraine,поліція|нацполіція|поліції,2015-07-04,,https://zakon.rada.gov.ua/laws/show/580-19,ВРУ,Закон №580-VIII «Про Національну поліцію»,high,auto,,
authority,міністерство внутрішніх справ,министерство внутренних дел,Ministry of Internal Affairs of Ukraine,мвс,,,https://mvs.gov.ua/en,МВС,,high,auto,do not use Ministry of Interior,
authority,міністерство юстиції,министерство юстиции,Ministry of Justice of Ukraine,мінюст,,,https://minjust.gov.ua/en,Мінюст,,high,auto,,
passport_authority,державна міграційна служба,государственная миграционная служба,State Migration Service of Ukraine,дмс,2011-12-09,,https://dmsu.gov.ua/en-home,ДМС,КМУ №1058 (2011),high,auto,,
civil_registry_term,державний реєстр актів цивільного стану,государственный реестр актов гражданского состояния,Civil Registry Office,драцс|відділ драцс|рацс,2013-01-01,,https://zakon.rada.gov.ua/laws/show/1025-2010-п,Мінюст,КМУ №1025 (10.11.2010),high,auto,,
civil_registry_term,відділ запису актів цивільного стану,отдел записи актов гражданского состояния,Civil Registry Office (ZAGS),загс|загсу,,2012-12-31,https://zakon.rada.gov.ua/laws/show/1025-2010-п,Мінюст,КМУ №1025; historical ZAGS,high,historical_lock,"Soviet/early form ЗАГС; keep ZAGS note on pre-2013 documents",
oblast,вінницька,винницкая,Vinnytsia Oblast,вінницької|вінницькій|вінницьку,,,https://dmsu.gov.ua/en-home/contacts.html,ДМС,DMS official English oblast names,high,auto,genitive to nominative,
settlement,тростянець,тростянец,Trostianets,,,,https://zakon.rada.gov.ua/laws/show/z1456-20,Держстат/Мінрегіон,КАТОТТГ / КОАТУУ,high,auto,,Vinnytsia Oblast
settlement,вінниця,винница,Vinnytsia,,,,https://zakon.rada.gov.ua/laws/show/z1456-20,Держстат,КОАТУУ,high,auto,,Vinnytsia Oblast
settlement,кропивницький,кропивницкий,Kropyvnytskyi,,2016-07-14,,https://zakon.rada.gov.ua/laws/show/1351-19,ВРУ,Постанова №1351 про перейменування Кіровограда,high,auto,,renamed from Kirovohrad in 2016
settlement,кіровоград,кировоград,Kirovohrad,,,2016-07-14,https://zakon.rada.gov.ua/laws/show/1351-19,ВРУ,historical name until 2016,high,historical_lock,"Historical name; renamed Kropyvnytskyi 2016 — do NOT modernise on older documents",
abbreviation,обл.,обл.,oblast,область|обл,,,https://zakon.rada.gov.ua/laws/show/z1456-20,Мінрегіон,КАТОТТГ,high,auto,,
abbreviation,р-н,р-н,raion,район|району,,,https://zakon.rada.gov.ua/laws/show/z1456-20,Мінрегіон,КАТОТТГ,high,auto,,
military_authority,територіальний центр комплектування,территориальный центр комплектования,Territorial Recruitment Center,тцк|військовий комісаріат|військкомат,2022-07-30,,https://zakon.rada.gov.ua/laws/show/2470-20,МОУ,reform 2022 (former military commissariat),medium,auto,former Military Commissariat,
