name,file,default,runtime_read,product,paid,safety_impact,prod_actual,preview_actual,tests,conflicts,undocumented,dead,inverted_semantics,dangerous_default
CANONICAL_MODE_TPS,lib/canonical/continuityMode.ts,shadow,yes,tps,no,high,ABSENT(=shadow),ABSENT(=shadow),unit,none,no,no,no,no
CANONICAL_MODE_REPAROLE,lib/canonical/continuityMode.ts,shadow,yes,reparole,no,high,ABSENT(=shadow),ABSENT,unit,none,no,no,no,no
CANONICAL_MODE_EAD,lib/canonical/continuityMode.ts,shadow,yes,ead,no,high,ABSENT(=shadow),ABSENT,unit,none,no,no,no,no
CANONICAL_MODE_TRANSLATION,lib/canonical/continuityMode.ts,shadow,yes,translation,no,high,ABSENT(=shadow),ABSENT,unit,none,no,no,no,no
CANONICAL_MODES,lib/canonical/continuityMode.ts,unset,yes,all,no,high,ABSENT,ABSENT,unit,JSON fallback layer; legacy-global clamped to shadow/off,no,no,no,no
CANONICAL_CONTINUITY_MODE,lib/canonical/continuityMode.ts,shadow,yes,all(legacy),no,high,ABSENT,ABSENT,unit,HARD-GUARD: can never enforce (clamped to off/shadow),no,no,no,no
TPS_AI_BRAIN_ENABLED,lib/tps/ai/documentBrain.ts,ON(only =0 disables),yes,tps,yes,high,ABSENT(=ON),ABSENT(=ON),unit,none,no,no,inverted(opt-OUT),default-ON paid brain in prod
DUAL_OCR_CROSSREF,app/api/tps/ocr/extract/route.ts,ON(only =false disables),yes,tps,yes,med,ABSENT(=ON),ABSENT(=ON),none-direct,none,partial,no,inverted(opt-OUT),default-ON extra paid call
TPS_GEMINI_VISION_ARBITER_ENABLED,app/api/tps/ocr/extract/route.ts,OFF,yes,tps,yes,med,ABSENT,ABSENT,unit,none,no,no,no,no
QUALITY_GATE_ENABLED,lib/docintel/quality/documentImageQuality.ts,OFF,yes,translation,no,med,ABSENT,ABSENT,unit,none,no,no,no,no
AUTO_ORIENT_ENABLED,lib/docintel/documentFieldReader.ts,OFF,yes,translation,no,med,Encrypted(SET),ABSENT,unit,MEMORY notes OSD direction bug history,no,no,no,if=1 with bad OSD can mis-rotate
ANTI_FABRICATION_GATE_ENABLED,lib/docintel/documentFieldReader.ts,OFF,yes,translation,no,high,Encrypted(SET),ABSENT,unit,prod value SET (0/1 unknown),no,no,no,no
SELF_CONSISTENCY_GATE_ENABLED,lib/docintel/documentFieldReader.ts,OFF,yes,translation,yes,med,Encrypted(SET),ABSENT,unit,if=1 multiplies provider calls x SELF_CONSISTENCY_RUNS,no,no,no,cost-multiplier if enabled
