id,rank,short_title,description,severity,frequency,urgency,service_card_slug,evidence_count,bad_advice_circulating,product_solution,primary_solution_form,validated_sources,last_verified
reparole-ead-denied,1,Re-parole approved → EAD denied,"You filed I-131 with the EAD checkbox. Re-parole was approved but the work permit was denied separately. You have 30 days to respond.",critical,very_high,high,ead-work-permit,927,"Just wait, EAD will come later",EAD denial diagnosis tool + MTR/NOID response checklist + 30-day deadline calculator,I-765,"FB UA Community 927 comments | Telegram @eadu4u",2026-04-30
uscis-payment-not-recognized,2,USCIS payment processed but portal shows unpaid,"Money left your bank account but USCIS portal shows your case as unpaid or missing. This is a known systemic issue affecting thousands of filings.",critical,very_high,critical,payment-problem,2115,Pay again to be safe,Payment status checker guide + USCIS dispute template + bank statement attachment guide,,"FB Tetiana 1447 comments | FB Skylex Lawyer 668 comments | Telegram cross-account confirmed",2026-04-30
reparole-form-only-insufficient-2026,3,Re-parole 2026: form-only no longer sufficient,"Since August 2025, USCIS requires PERSONAL evidence (medical, family, employment) for re-parole — not just general 'war in Ukraine' justification.",critical,high,critical,re-parole-u4u,941,Just describe the war situation,Re-parole evidence builder + 500-character justification generator with situation-based templates,I-131,"FB Олександра Гоелз 514 comments | Telegram Адаптація UA confirmed Aug 2025 policy shift",2026-04-30
tps-ead-deadline-july-22-2026,4,TPS EAD auto-extension expires July 22 2026,"TPS Ukraine designation extends to October 19 2026 but your EAD auto-extension only goes until July 22 2026. File a new EAD application before then or risk losing work authorization.",critical,very_high,critical,tps-ukraine,2142,TPS extended to October so EAD valid until October,Deadline alert banner + employer letter template + I-9 reverification guidance,I-765,"FB Малюк 1820 comments | FB Selfreliance 322 comments | Federal Register 90 FR 5936",2026-04-30
parole-expires-with-only-receipt,5,Parole expiring soon only receipt notice in hand,"Your parole is expiring in days. You filed re-parole and got a receipt notice. Whether the receipt protects your legal status depends on your I-94 expiry vs filing date.",critical,high,extreme,parole-expires-soon,0,You're fine if you filed,Emergency receipt status explainer + state of presence checker + lawyer referral,,Telegram Допомога/Поради LIVE 2026-04-29 08:14,2026-04-30
work-on-i94-without-ead-chatgpt-misinfo,6,Can I work on I-94 / re-parole alone?,"Re-parole grants presence authorization only. Work requires separate EAD approval. ChatGPT has been giving incorrect category-based advice on this.",critical,high,high,ead-work-permit,312,"ChatGPT says you can work for 90 days | I-94 includes work authorization","'Can I work right now?' eligibility checker by parole category",I-765,FB UA Community 312 comments — ChatGPT explicitly named,2026-04-30
sponsor-abuse-blackmail-u4u,7,U4U sponsor threatening deportation / abuse,"Some U4U sponsors threaten parolees with deportation if they don't comply with demands. Victims have legal protection — U-visa available for abuse victims.",critical,medium,critical,parole-expires-soon,0,Do not report or you'll be deported,Sponsor abuse legal guide + U-visa explainer + reporting flowchart + safe contact list,,FB UA Community admin post (comments DISABLED) | Shepelsky Law page,2026-04-30
tps-october-19-2026-no-renewal,8,TPS Ukraine expires October 19 2026 no renewal expected,"Under current administration no country with expired TPS has been renewed. Plan transition pathways now (asylum has 1-year filing window from arrival).",critical,very_high,high,tps-ukraine,3100,It will definitely be renewed,Status transition planning tool + TPS-to-asylum timeline + alternative pathway guide,I-589,Telegram Помощь U4U/HP 3100+ views | Юридические послуги США 81K subs,2026-04-30
rfe-misread-deadline,9,Missing RFE response deadline,"USCIS sets a hard deadline on RFEs (typically 30-87 days). Missing it = case denied. Many users misread the deadline date.",critical,high,extreme,rfe-denial,420,You have plenty of time to respond,RFE deadline calculator + response template library,,Telegram Юридические послуги США,2026-04-30
biometrics-no-show-denial,10,Missing biometrics appointment without rescheduling,"Failure to appear at biometrics without rescheduling can result in case denial under abandonment grounds.",critical,medium,critical,biometrics,180,Just don't go they'll reschedule automatically,Biometrics rescheduling guide + abandonment recovery options,,Telegram Адаптація UA,2026-04-30
wrong-ead-category-c11-vs-a12,11,Wrong EAD category code on I-765,"Filing I-765 with wrong category (c11 for re-parole vs a12 for TPS vs c19 for TPS pending) leads to denial.",high,high,high,ead-work-permit,256,Pick whatever category fits closest,Category code selector + form decision tree,I-765,FB Immigrant Porada 20K group,2026-04-30
i9-employer-reverification-confusion,12,I-9 employer reverification on EAD expiry,"Employers must reverify work authorization when EAD expires. Auto-extension rules are confusing both for workers and HR.",high,high,high,ead-work-permit,189,Your employer must keep you regardless,I-9 employer letter generator + Federal Register citation kit,,FB Selfreliance + Telegram TPS та Дозвіл,2026-04-30
i131-box-10c-vs-other,13,Wrong checkbox on I-131 (Box 10.C vs others),"Ukrainian re-parole filers should select Box 10.C. Many mistakenly check 'outside US' boxes meant for Advance Parole travel.",high,high,medium,re-parole-u4u,143,Just check the box that mentions parole,Form I-131 checkbox decision guide,I-131,Telegram Адаптація UA,2026-04-30
g1145-not-attached-to-package,14,G-1145 submitted separately,"G-1145 e-notification only works if attached IN the same package as the petition. Filing separately = no notification.",medium,medium,low,form-draft-helper,67,File it before you send the package,G-1145 attachment checklist + filing kit instructions,G-1145,Telegram Юридические послуги США,2026-04-30
