id,topic,question,question_variants,short_answer,full_answer,risk_level,official_source_urls,related_pain_points,related_misinformation
faq-001-tps-ead-deadline,tps,"When does my TPS EAD expire?","When does my work permit expire | EAD valid until when | TPS work auth date","TPS Ukraine designation extends to October 19 2026 but EAD auto-extension is capped at July 22 2026. Check your specific EAD card for the printed date and your category code.","Two dates matter for TPS Ukraine. The TPS designation period runs through October 19 2026 — this is when TPS protection from removal ends. The EAD auto-extension is separate and only extends through July 22 2026. After July 22 2026 you must have an approved new EAD application or your work authorization ends. Verify both dates against the Federal Register notice and your specific EAD card.",critical,"https://www.federalregister.gov/documents/2025/01/17/2025-00771/|https://www.uscis.gov/humanitarian/temporary-protected-status/temporary-protected-status-designated-country-ukraine",tps-ead-deadline-july-22-2026|i9-employer-reverification-confusion,tps-extension-equals-ead-extension
faq-002-can-i-work-now,ead,"Can I work right now?","Am I authorized to work | Can I get a job | Work authorization yes or no","It depends on your specific status. Re-parole alone does not authorize work. Only an EAD card or specific status (TPS with valid EAD) authorizes employment.","Work authorization in the US requires either an EAD card or a status that includes employment authorization incident to status. Re-parole grants presence authorization only — you cannot work just because you have re-parole. TPS holders can work only while their EAD or auto-extension is valid. Always verify your specific category and dates against USCIS guidance. If unsure consult a licensed immigration attorney before starting employment.",critical,"https://www.uscis.gov/i-765|https://www.ecfr.gov/current/title-8/chapter-I/subchapter-B/part-274a/subpart-B/section-274a.12",work-on-i94-without-ead-chatgpt-misinfo|reparole-ead-denied,work-on-reparole-without-ead|chatgpt-immigration-advice-reliable
faq-003-how-file-reparole,re-parole,"How do I file for re-parole?","File re-parole | Submit re-parole | Apply for re-parole","File Form I-131 with USCIS. Since August 2025 you must include personal evidence (medical/family/employment) — not just general country conditions. Include your original Travel Authorization document and the filing fee or I-912 fee waiver request.","Re-parole filing under Uniting for Ukraine uses Form I-131. The 2025 policy update requires personal evidence specific to your situation: medical records family ties employment proof. General statements about war in Ukraine are no longer sufficient. Attach your original Travel Authorization document. Include either the filing fee or Form I-912 if requesting fee waiver. Verify current edition of I-131 at USCIS website before filing.",high,"https://www.uscis.gov/i-131|https://www.uscis.gov/humanitarian/uniting-for-ukraine",reparole-form-only-insufficient-2026|i131-box-10c-vs-other,reparole-form-only-sufficient
faq-004-reparole-evidence,re-parole,"What evidence do I need for re-parole?","Re-parole proof requirements | Re-parole supporting documents | What papers for re-parole","USCIS expects personal evidence supporting your continued need for parole — medical records family responsibilities employment proof — not just general references to country conditions.","As of August 2025 USCIS expects re-parole filings to include personal evidence: medical conditions requiring continued US treatment family members in the US dependent on you employment proof showing US ties documentation of any specific risk you face if returned. General country conditions evidence remains useful but is no longer sufficient on its own. Form I-131 instructions describe required initial evidence in detail.",high,"https://www.uscis.gov/i-131|https://www.uscis.gov/humanitarian/uniting-for-ukraine",reparole-form-only-insufficient-2026,reparole-form-only-sufficient
faq-005-payment-not-recognized,payment,"My USCIS payment is not showing what should I do?","Paid USCIS but case shows unpaid | USCIS payment problem | Money taken but no case","First confirm the charge on your bank statement. Then check your USCIS online account at my.uscis.gov for payment status. If discrepancy persists do not pay again — contact USCIS Contact Center with your bank statement showing the charge.","Payment processing issues are a documented systemic problem at USCIS. Step 1: confirm the charge cleared your bank with a statement. Step 2: log into my.uscis.gov to verify what USCIS records show. Step 3: if your bank shows the charge but USCIS shows unpaid do NOT submit a duplicate payment. Step 4: contact USCIS Contact Center with your bank statement and any payment confirmation. Save all documentation. Filing an inquiry creates a written record you can reference if needed.",critical,"https://my.uscis.gov/|https://www.uscis.gov/contactcenter",uscis-payment-not-recognized,
faq-006-reparole-processing-time,re-parole,"How long does re-parole take?","Re-parole processing time | When will re-parole be approved | Re-parole wait","Processing times vary by service center and case complexity. Check current USCIS published processing times. Filing receipts arrive within ~30 days; adjudication can take several months.","USCIS publishes current processing times on its website. Times vary by service center caseload and case complexity. After filing expect a receipt notice within ~30 days confirming USCIS received your application. Adjudication typically takes several months. Biometrics may be scheduled in the interim. Never rely on community estimates — only USCIS published times are authoritative.",medium,https://egov.uscis.gov/processing-times/,parole-expires-with-only-receipt,receipt-equals-approval
faq-007-biometrics-purpose,biometrics,"What is biometrics for?","Biometrics meaning | Why biometrics appointment | What happens at biometrics","Biometrics involves taking your fingerprints photo and signature for FBI background checks. Standard part of most USCIS applications.","USCIS uses biometrics (fingerprints photograph and signature) for FBI background and identity verification. After filing you'll receive a biometrics appointment notice with date time and location. Bring the appointment notice and a government-issued photo ID. The appointment typically takes 15-30 minutes. Missing the appointment without rescheduling can lead to case denial under abandonment grounds.",low,"https://www.uscis.gov/forms/all-forms/preparing-for-your-biometric-services-appointment|https://www.uscis.gov/forms/filing-fees/biometric-services-fee",biometrics-no-show-denial|biometrics-bring-wrong-id,biometrics-no-show-no-consequence
faq-008-tps-travel,tps,"Can I travel on TPS?","International travel TPS | Leaving country with TPS | Travel abroad TPS","TPS does not include travel authorization. To travel internationally apply for Advance Parole (Form I-131) BEFORE leaving. Leaving without it = TPS abandonment.","TPS protects you from removal and grants work authorization but does NOT authorize international travel. To travel and return you must apply for Advance Parole using Form I-131 and have it approved BEFORE leaving the US. Departing without Advance Parole is treated as abandonment of TPS — you may be barred from reentry. Plan travel applications well in advance because Advance Parole adjudication takes months.",critical,"https://www.uscis.gov/humanitarian/temporary-protected-status|https://www.uscis.gov/i-131",travel-on-tps-without-advance-parole,tps-allows-international-travel
faq-009-after-october-2026,tps,"What happens after October 2026 (TPS expiry)?","TPS ending October 2026 | TPS not renewed | Plan after TPS","If TPS Ukraine is not extended past October 19 2026 you lose TPS protection and EAD. Plan transition pathways now: asylum (1-year deadline) family-based or employment-based.","Under current administration no country with expired TPS has been renewed. Plan as if October 19 2026 is hard deadline. Transition pathways: (1) Asylum I-589 — must file within 1 year of last arrival in US with limited exceptions; (2) Family-based — if you have qualifying US citizen or LPR relative; (3) Employment-based — if you have qualifying job and sponsor; (4) Other humanitarian programs — VAWA U-visa T-visa for specific situations. Consult a licensed immigration attorney to evaluate your options before October 2026.",critical,"https://www.uscis.gov/humanitarian/temporary-protected-status|https://www.uscis.gov/i-589",tps-october-19-2026-no-renewal|asylum-1-year-filing-deadline,asylum-can-file-anytime
faq-010-expedite-case,case-status,"How do I expedite my case?","Speed up USCIS | Emergency processing | Urgent case","USCIS expedite criteria are narrow: severe financial loss to a company or person urgent humanitarian reasons nonprofit furthering US cultural or social interests USCIS error or compelling US government interests. Submit a written request via USCIS Contact Center.","Expedite requests are granted only in narrow circumstances. Eligibility includes: severe financial loss to a US company or person urgent humanitarian reasons (medical emergencies imminent risk) nonprofit organization furthering US cultural or social interests USCIS error or compelling US government interests. To request expedite contact USCIS Contact Center and provide written documentation. Most expedite requests are denied. Routine processing concerns do not qualify.",medium,"https://www.uscis.gov/forms/filing-guidance/how-to-make-an-expedite-request|https://www.uscis.gov/contactcenter",,
