topic,language,search_term
re-parole,RU,репароль
re-parole,RU,u4u
re-parole,UK,репароль
re-parole,UK,гуманітарний пароль
re-parole,EN,re-parole
re-parole,EN,uniting for ukraine
tps,RU,tps
tps,RU,i-821
tps,UK,тпс
tps,UK,і-821
tps,EN,tps
tps,EN,temporary protected status
ead,RU,ead
ead,RU,разрешение на работу
ead,RU,i-765
ead,UK,ead
ead,UK,дозвіл на роботу
ead,UK,і-765
ead,EN,ead
ead,EN,work permit
i94,RU,i-94
i94,UK,і-94
i94,EN,i-94
case-status,RU,case status
case-status,RU,статус дела
case-status,RU,receipt number
case-status,UK,статус кейса
case-status,UK,номер справи
case-status,EN,case status
case-status,EN,receipt number
translation,RU,перевод документов
translation,RU,скан
translation,UK,переклад документів
translation,UK,скан
translation,EN,translation
translation,EN,scan
rfe,RU,rfe
rfe,RU,отказ
rfe,RU,denial
rfe,UK,відмова
rfe,UK,rfe
rfe,EN,rfe
rfe,EN,denial
payment,RU,оплата
payment,RU,fee waiver
payment,RU,i-912
payment,UK,оплата
payment,UK,і-912
payment,EN,payment
payment,EN,fee waiver
forms,RU,форма
forms,UK,форма
forms,EN,form
biometrics,RU,биометрия
biometrics,UK,біометрія
biometrics,EN,biometrics
