path,category,runtime_used,products,entry_points,imports,tests,feature_flag,default_state,prod_state,pii,paid_provider,legacy,duplicate,risk,recommended_action,evidence
apps/web/src/lib/docintel/documentFieldReader.ts,real-document-core,yes,"tps,reparole,ead,translation",4 OCR routes,gemini/docai providers+orientation+dateRoleGuard+transliterationPolicy+patronymicReconcile+authorityResolve+antiFabricationGate+selfConsistency,unit,none,on,PROVEN_PRODUCTION,no,gemini,no,no,P3,KEEP — this is the live brain,"4 product routes import readDocument; tps_ocr_audit=668 rows"
apps/web/src/lib/canonical/core/readDocumentCore.ts,parallel-core,no,none,none,arbitration,core.test+realDocGate.live,none,off,DEAD_CODE,no,no,no,yes(dupes docintel reader),P3,DELETE or document as reference-only,"0 real importers; only doc-comment refs in mrzAuthority:291"
apps/web/src/lib/canonical/core/arbitration.ts,parallel-core,no,none,none(only readDocumentCore which is dead),core tests,none,off,DEAD_CODE,no,no,no,yes,P3,DELETE with readDocumentCore,"only importer is dead readDocumentCore"
apps/web/src/lib/central-brain/,brain,no,none,central-brain/health route only,self+health,health test,none,off,DEAD_CODE,no,no,yes,no,P3,DELETE,"only importer is api/central-brain/health; TranslateWizard ref is a comment"
apps/web/src/lib/docintel/oneBrain/decideField.ts,brain,no,none,none,arbitration,unit,none,off,DEAD_CODE,no,no,no,no,P3,DELETE,"grep oneBrain/decideField = 0 importers"
apps/web/src/lib/canonical/core/tpsAdapter.ts,adapter,yes,tps,tps/ocr/extract,fieldAccessor+arbitration types,unit,none,on,PROVEN_PRODUCTION,no,no,no,no,P3,KEEP,"tps route:288 canonicalToTpsModuleResult"
apps/web/src/lib/canonical/core/translationAdapter.ts,adapter,yes,"translation,ead,reparole,tps",4 routes,fieldAccessor,unit,none,on,PROVEN_PRODUCTION,no,no,no,no,P3,KEEP,"imported by 4 routes"
apps/web/src/lib/canonical/core/reParoleAdapter.ts,adapter,yes,reparole,reparole/ocr/extract,fieldAccessor,unit,none,on,CODE_ONLY,no,no,no,no,P3,KEEP,"reparole route; 1 canonical_documents row"
apps/web/src/lib/canonical/core/eadAdapter.ts,adapter,yes,ead,ead/ocr/extract,fieldAccessor,unit,none,on,CODE_ONLY,no,no,no,no,P3,KEEP,"ead route; 2 canonical_documents rows"
apps/web/src/lib/canonical/core/fieldAccessor.ts,c3-release-gate,yes,"tps,ead,reparole,translation",PDF mappers,—,unit,none,on,PROVEN_PRODUCTION,no,no,no,no,P2,KEEP — C3 release authority,"7 importers incl lib/packet/pdf.ts,i821/i765 mappers,buildMirrorValues"
