id,severity,problem,root_cause,exact_files,products,evidence,recommended_action
R01,P0,"Raw applicant PII (names/DOB/doc numbers/addresses) stored cleartext in prod DB","OCR audit writer serializes full brain field values (source_value/final_value/input_raw); the sibling manual_review_events PII rule was never applied to this writer; no TTL/retention","app/api/tps/ocr/extract/route.ts:1153-1191 (writer); table tps_ocr_audit.brain_raw","TPS","575 of 668 live rows contain per-field PII jsonb; no cron deletes it; DATABASE_INVENTORY.csv + INFRA_OPERATIONS_AUDIT.md","Redact/hash brain_raw at write; add TTL+cron purge; backfill-scrub existing rows; treat as PII table per project rule"
R02,P1,"No environment isolation: Preview/Dev deployments read AND write the production Supabase with the production service-role key","Single Supabase project; SUPABASE_URL + SERVICE_ROLE_KEY set identically for Production/Preview/Development in Vercel","Vercel env (production+preview+development); lib/supabase/admin.ts createAdminSupabaseClient","ALL","list_projects=1 project rtfxrlountkoegsseukx; vercel env ls shows shared scope; INFRA_OPERATIONS_AUDIT.md","Provision dedicated staging Supabase + Stripe-test; scope service-role key to production only; block preview writes to prod"
R03,P1,"Re-Parole packet generation has NO server-side payment verification (free $15 packet)","Re-Parole cloned from TPS flow but the x-payment-token server gate was not carried over; paid set client-side via ?paid=1","app/api/reparole/generate-packet/route.ts (no Stripe/auth); ReparoleWizardV2.tsx:537-538,548","Re-Parole","full guard grep zero matches; TPS gate at generate route:109-119 by contrast; USER_FLOW_MATRIX.md §2","Add x-payment-token verification vs Stripe to reparole/generate-packet, mirroring TPS; reject direct POST/?paid=1"
R04,P1,"Server PII ledger NOT_WIRED to any live flow despite 'wired/done/E2E' claims","#132 tested route in isolation; #133 wired client adapter into orphaned GeneratePacketBlock.tsx (0 importers); live TPSWizardV2 left untouched; no browser smoke","GeneratePacketBlock.tsx (orphan); TPSWizardV2.tsx:1848; lib/v1/wizardLedgerClient.ts; api/wizard-draft/route.ts","TPS (+reparole/ead/translation none)","GET /api/wizard-draft=404; wizard_drafts 0 rows; grep 0 importers of GeneratePacketBlock; SECURITY_PII_AUDIT.md §1","Wire ledger into live TPSWizardV2 behind flag; add live-wizard test + browser smoke asserting no localStorage PII when ON; then reparole/ead/translation"
R05,P1,"No reviewed real-document corpus or ground truth -> read ACCURACY unmeasured; '0 fabricated' counts EMPTY as success","PII firewall (correctly never commit real docs) leaves only synthetic fixtures that carry their own answers; sha256 manifest treated as corpus proof; downstream docs dropped the benchmark's own disclaimers","PRIVATE_CORPUS_MANIFEST.safe.yaml (hashes only); test-fixtures/*.py (synthetic); artifacts/v1/.../benchmark.json (local-dev)","TPS/Translation/EAD/Re-Parole","corpus source dirs gitignored+absent; benchmark covers 3 docs, critical fields EMPTY; CORPUS_INVENTORY.csv; DOCUMENT_COVERAGE_REALITY.md","Build sanctioned redacted real-doc GT mechanism + independent review; separate coverage from non-fabrication metrics; gate in CI once staging exists"
R06,P1,"Anti-fabrication gate OFF in prod while Gemini vision (documented wrong-person identity risk) is the reader on MRZ-less docs","hardenFinalValues protects only the TEXT brain (DeepSeek); ANTI_FABRICATION_GATE_ENABLED default OFF; booklet/certificates have no MRZ anchor so the review net is thinnest where risk is highest","lib/docintel/antiFabricationGate.ts:3 (default OFF); providers/geminiVisionProvider.ts; arbitration.ts","TPS/Translation (booklet, civil certs)","BRAIN_DICTIONARY_AUDIT.md B3+root-cause; gemini-2.5 disqualified per-class for wrong-person","Enable anti-fab gate for MRZ-less classes (after GT); keep MRZ-controlling where MRZ exists; force review on non-Latin"
R07,P1,"Prod DB schema ahead of main by 4 out-of-band V2 migrations whose .sql exist only in frozen PR #119","V2 migrations applied directly to prod Supabase to run .live.test invariants from the draft branch; code+migration files never merged to main","supabase/migrations (main lacks them); PR #119 diff only","Translation (+ canonical guards)","list_migrations shows 20260614005529/005615/005650/032529 APPLIED; absent from main ls-files; TRANSLATION_V2_AUDIT.md DB DRIFT","Back-port the 4 migration .sql into main so code-of-record matches prod (without merging #119 logic), OR formally merge #119; document widen_canonical_guards impact"
R08,P1,"Canonical override/correction loop (the only place canonical becomes authoritative) is an orphan route with 0 prod traffic; enforce-flip would be unsafe","ADR-017 built a new canonical core + override route but live routes were wired to pre-existing docintel reader; UI uses legacy correct-field/confirm-field instead","app/api/canonical/[id]/override/route.ts (0 UI callers); lib/canonical/core/readDocumentCore.ts (dead)","TPS/Translation/EAD/Re-Parole","grep api/canonical in app/components=none; canonical_overrides 0 rows; CANONICAL_CORE_AUDIT.md","Do NOT flip enforce until override loop is wired to UI; either wire it or formally mark canonical-core shadow-only and remove dead readDocumentCore"
R09,P2,"OCR cache + provider budget NOT_WIRED -> prod OCR uncapped, up to 3 paid calls/upload, no dedupe across re-uploads/Stripe retries","#127 built cache/budget as injectable side-effect-free library for benchmark unit-testability; wiring deferred to a staging-dependent phase that doesn't exist","lib/v1/ocrCache.ts, ocrCacheStore.ts, providerBudget.ts, cachedBudgetedProvider.ts (0 importers); tps/ocr/extract + translation/vision-extract call providers directly","TPS/Translation","grep 0 non-test importers; OCR_CACHE_RUNTIME_AUDIT.md","Wire cache+budget chokepoint into readDocument/provider calls behind flag; add per-document idempotency to prevent duplicate charges on retry"
R10,P2,"PII still browser-persisted in prod (#120 minimizes, does not remove); ledger Phase B inert","#120 was an explicit minimization slice; full removal depends on the server ledger which is built but not wired/enabled","lib/.../persistedDraftPolicy.ts:62-63; TPSWizardV2.tsx:1848","TPS/Re-Parole/Translation wizards","#120 comment keeps value+raw_cyrillic; SECURITY_PII_AUDIT.md §1.4","Complete ledger wiring (R04) to remove value/raw from browser; until then keep TTL+clear-on-completion (present)"
